"","X","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"485",485,"Grallina_cyanoleuca","Grallina_cyanoleuca","Magpie-lark","Monarchidae","Monarch-flycatchers","Tring","M",790.51,493.4,1283.91,15.14,1.75,10.62,11.64,6.98,82.57,"Full Migrant",1,3.5,21,"Both",1,0,0,0,12.5,-26.04,"S",0,0,23.61,35.13
"488",488,"Grantiella_picta","Grantiella_picta","Painted Honeyeater","Meliphagidae","Honeyeaters","HBW","L",54.25,59.92,114.17,7,0.95,4.45,5.1,4.4,21.5,"Full Migrant",1,2,20,"Both",1,0,0,0,10.75,-36.55,"S",0,0,16.78,57.32
"492",492,"Gymnorhina_tibicen","Gymnorhina_tibicen","Australian Magpie","Artamidae","Woodswallows and butcherbirds","HBW","L",11740.72,825.65,12566.37,40,12.75,15,14.5,7.5,284.87,"Not a Migrant",0,3.5,30,"Excl_Group Care",1,0,0,0,11,-26.79,"S",0,0,22.93,33.44
"495",495,"Habia_rubica","Habia_rubica","Red-crowned Ant-tanager","Cardinalidae","Cardinals","Tring","M",223.34,65.95,289.29,9.97,1.92,5.55,6.14,3.34,32.46,"Not a Migrant",0,2.5,10,"Mainly Female",1,0,0,0,4,-6.72,"S",0,0,24.5,172.38
"497",497,"Haemorhous_mexicanus","Carpodacus_mexicanus","House Finch","Fringillidae","Finches","BNA","L",449.78,59.11,508.9,11.7,3.05,7.1,5.6,3.6,21.4,"Not a Migrant",0,5,15.5,"Mainly Female",1,0,1,0,10.4,40.18,"N",0,0,12.89,62.03
"498",498,"Haemorhous_mexicanus","Carpodacus_mexicanus","House Finch","Fringillidae","Finches","BNA","L",121.54,26.9,148.44,9,1.9,3.5,5.2,1.9,21.4,"Not a Migrant",0,5,15.5,"Mainly Female",1,0,1,0,10.4,40.18,"N",0,0,12.89,62.03
"502",502,"Hesperiphona_vespertina","Coccothraustes_vespertinus","Evening Grosbeak","Fringillidae","Finches","BNA","L",1006.79,121.43,1128.22,13,2.25,12.75,8.5,3.21,57.3,"Not a Migrant",0,3.5,13.5,"Female",1,0,0,0,20,49.98,"N",0,0,6.04,58.62
"504",504,"Heterophasia_capistrata","Heterophasia_capistrata","Rufous Sibia","Leiotrichidae","Laughingthrushes and allies","Tring","M",348.04,88.26,436.3,11.4,2.6,6.37,6.19,4.38,39.4,"Not a Migrant",0,2.5,15.5,"Both",1,0,0,0,10,29.53,"N",0,0,16.72,103.09
"506",506,"Hippolais_icterina","Hippolais_icterina","Icterine Warbler","Acrocephalidae","Reed-warblers","Tring","M",203.35,56.34,259.69,8.03,1.67,7.67,4.69,4.83,13.2,"Full Migrant",1,4.5,14,"Mainly Female",1,0,0,0,4,54.89,"N",0,0,7.72,47.89
"507",507,"Hippolais_icterina","Hippolais_icterina","Icterine Warbler","Acrocephalidae","Reed-warblers","BWP","L",397.35,47.71,445.06,10,2.75,8.5,4.5,4.5,13.2,"Full Migrant",1,4.5,14,"Mainly Female",1,0,0,0,4,54.89,"N",0,0,7.72,47.89
"511",511,"Hippolais_polyglotta","Hippolais_polyglotta","Melodious Warbler","Acrocephalidae","Reed-warblers","BWP","L",230.15,54.98,285.13,8.1,1.55,8.3,5,4.2,11,"Full Migrant",1,4.5,12,"Female",1,0,0,0,2.75,42.4,"N",0,0,13.01,57.83
"513",513,"Hirundo_neoxena","Hirundo_neoxena","Welcome Swallow","Hirundinidae","Swallows and martins","Tring","M",497.97,167.27,665.25,11.94,1.85,8.92,8.24,4.7,14.7,"Full Migrant",1,4.2,20.6,"Both",0,0,1,0,6.15,-29.8,"S",0,0,19.75,43.96
"514",514,"Hirundo_nigrita","Hirundo_nigrita","White-bibbed Swallow","Hirundinidae","Swallows and martins","Tring","M",421.86,77.72,499.58,12.25,3.1,6.35,6.06,4.05,18.3,"Not a Migrant",0,2.5,17.5,"Both",1,0,1,0,1.55,-0.48,"S",0,0,24.32,138.49
"517",517,"Hirundo_rustica","Hirundo_rustica","Barn Swallow","Hirundinidae","Swallows and martins","Tring","M",380.59,125.78,506.37,12.39,2.71,6.26,6.96,4.97,17.91,"Full Migrant",1,4.5,21,"Both",0,0,1,0,3.5,52.04,"N",0,0,7.36,46.61
"518",518,"Hylocichla_mustelina","Hylocichla_mustelina","Wood Thrush","Turdidae","Thrushes","BNA","L",611.74,127.17,738.9,12,2.18,9.8,7.65,4.15,50.09,"Full Migrant",1,3.5,13.5,"Mainly Female",1,0,0,0,4.5,40.78,"N",0,0,12.47,97.05
"520",520,"Hylophylax_naevioides","Hylophylax_naevioides","Spotted Antbird","Thamnophilidae","Typical antbirds","NBO","L",125.93,90.28,216.21,7.45,0.91,7.44,5.63,5.44,17.8,"Not a Migrant",0,2,11.5,"Both",1,0,0,0,1,7.22,"N",0,0,25.21,240.97
"525",525,"Hypocolius_ampelinus","Hypocolius_ampelinus","Hypocolius","Hypocoliidae","Hypocolius","Tring","M",1036.52,260.56,1297.08,15.79,3.8,9.93,8.19,7.42,53.3,"Full Migrant",1,4,13.5,"Both",1,0,0,0,2.5,30.82,"N",0,0,24.42,14.39
"527",527,"Hypopyrrhus_pyrohypogaster","Hypopyrrhus_pyrohypogaster","Red-bellied Grackle","Icteridae","New World blackbirds","NBO","L",1797.5,465.91,2263.41,16.7,2.98,15.5,10.75,7.7,257.9,"Not a Migrant",0,3,16,"Female",1,0,0,0,9,1.75,"N",0,0,21.07,188.96
"531",531,"Hypsipetes_crassirostris","Hypsipetes_crassirostris","Seychelles Bulbul","Pycnonotidae","Bulbuls","HBW","L",517.05,190.85,707.91,13,2,8,9,4.5,79.5,"Not a Migrant",0,2,21,"Both",1,0,0,0,8.5,-4.5,"S",1,1,26.56,190.84
"532",532,"Hypsipetes_crassirostris","Hypsipetes_crassirostris","Seychelles Bulbul","Pycnonotidae","Bulbuls","Tring","M",398.07,223.83,621.9,12.45,1.89,7.66,8.68,5.68,79.5,"Not a Migrant",0,2,21,"Both",1,0,0,0,8.5,-4.5,"S",1,1,26.56,190.84
"534",534,"Hypsipetes_olivaceus","Hypsipetes_olivaceus","Mauritius Bulbul","Pycnonotidae","Bulbuls","Tring","M",570.94,166.55,737.49,13.47,2.97,7.69,7.53,5.57,74.99,"Not a Migrant",0,3,21,"Female",1,0,0,0,5.5,-20.25,"S",1,1,23.02,139.06
"542",542,"Iduna_caligata","Hippolais_caligata","Booted Warbler","Acrocephalidae","Reed-warblers","BWP","L",273.01,44.53,317.55,8.6,2.15,8.2,4.3,4.6,8.9,"Full Migrant",1,5,13,"Female",1,1,0,0,0.5,55.16,"N",0,0,6.32,34.23
"543",543,"Iduna_caligata","Hippolais_caligata","Booted Warbler","Acrocephalidae","Reed-warblers","BWP","L",135.63,70.46,206.08,8.7,1.45,5.2,5.8,4,8.9,"Full Migrant",1,5,13,"Female",1,1,0,0,0.5,55.16,"N",0,0,6.32,34.23
"545",545,"Iduna_pallida","Hippolais_pallida","Olivaceous Warbler","Acrocephalidae","Reed-warblers","BWP","L",194.62,47.71,242.33,8.25,1.88,6.8,4.5,4.5,9,"Full Migrant",1,4,13,"Mainly Female",1,0,0,0,2.5,40,"N",0,0,16.48,33.81
"546",546,"Iduna_pallida","Hippolais_pallida","Olivaceous Warbler","Acrocephalidae","Reed-warblers","Tring","M",167.71,53.28,220.99,8.55,1.89,5.59,4.76,4.27,9,"Full Migrant",1,4,13,"Mainly Female",1,0,0,0,2.5,40,"N",0,0,16.48,33.81
"547",547,"Iduna_rama","Hippolais_rama","Sykes's Warbler","Acrocephalidae","Reed-warblers","Tring","M",175.27,47.05,222.31,9.45,2.34,4.76,4.77,3.95,9.3,"Full Migrant",1,5,13,"Female",1,0,0,0,1.15,41.04,"N",0,0,16.79,18.38
"550",550,"Irania_gutturalis","Irania_gutturalis","White-throated Robin","Muscicapidae","Old World flycatchers and chats","BWP","L",526.63,131.21,657.84,11.5,2.38,9.5,6.75,5.5,21.6,"Full Migrant",1,5,9.5,"Female",1,1,0,0,0.25,37.17,"N",0,0,12.9,48.91
"551",551,"Irania_gutturalis","Irania_gutturalis","White-throated Robin","Muscicapidae","Old World flycatchers and chats","Tring","M",415.21,119,534.21,13.63,3.13,5.49,7.37,4.19,21.6,"Full Migrant",1,5,9.5,"Female",1,1,0,0,0.25,37.17,"N",0,0,12.9,48.91
"553",553,"Ixoreus_naevius","Zoothera_naevia","Varied Thrush","Turdidae","Thrushes","BNA","L",1776.37,314.16,2090.53,19.5,4.75,10.5,10,6,77.5,"Full Migrant",1,3.5,14,"Female",1,1,0,0,9,61.27,"N",0,0,0.57,43.24
"555",555,"Junco_hyemalis","Junco_hyemalis","Dark-eyed Junco","Passerellidae","New World sparrows","Tring","M",226.64,41.77,268.42,9.91,2.42,5.07,5.06,3.09,19.5,"Full Migrant",1,4,10.5,"Female",1,1,1,0,7.5,56.21,"N",0,0,2.45,46.55
"556",556,"Junco_hyemalis","Junco_hyemalis","Dark-eyed Junco","Passerellidae","New World sparrows","BNA","L",286.79,90.48,377.27,11.14,2.32,5.8,6.5,4.09,19.5,"Full Migrant",1,4,10.5,"Female",1,1,1,0,7.5,56.21,"N",0,0,2.45,46.55
"562",562,"Lalage_tricolor","Lalage_tricolor","White-winged Triller","Campephagidae","Cuckoo-shrikes","Tring","M",104.59,30.89,135.48,8.52,1.75,3.54,5.02,2.34,25,"Full Migrant",1,2,12,"Both",1,0,0,0,6.5,-26.05,"S",0,0,23.67,33.29
"567",567,"Lanioturdus_torquatus","Lanioturdus_torquatus","Ground Batis","Platysteiridae","Batises and wattle-eyes","Tring","M",119.64,59.03,178.68,8.11,1,5.18,6.1,3.03,29,"Not a Migrant",0,2,20,"Mainly Female",1,0,0,0,4.2,-18.22,"S",0,0,20.91,43.38
"570",570,"Lanius_collaris","Lanius_collaris","Common Fiscal","Laniidae","Shrikes","HBW","L",693.38,147.26,840.64,13,2.75,9.5,7.5,5,36.44,"Not a Migrant",0,2.5,19,"Both",1,0,0,0,7.8,-8.16,"S",0,0,20.92,81.3
"572",572,"Lanius_collurio","Lanius_collurio","Red-backed Shrike","Laniidae","Shrikes","Tring","M",588.7,118.16,706.87,14.17,3.46,6.55,7.18,4.49,28.44,"Full Migrant",1,5,15,"Both",1,0,0,0,2.65,54.09,"N",0,0,7.62,47.54
"574",574,"Lanius_cristatus","Lanius_cristatus","Brown Shrike","Laniidae","Shrikes","HBW","L",760.09,123.85,883.94,12.25,2.5,11.25,7.25,4.5,32.18,"Full Migrant",1,5,14.5,"Mainly Female",1,1,0,0,9,59.39,"N",0,0,0.44,36.86
"575",575,"Lanius_excubitor","Lanius_excubitor","Great Grey Shrike","Laniidae","Shrikes","Tring","M",1526.35,190.68,1717.03,18.75,5.47,9.33,7.82,5.96,63.41,"Full Migrant",1,6,17,"Both",1,0,0,0,7.85,60.53,"N",0,0,15.67,27.35
"576",576,"Lanius_excubitoroides","Lanius_excubitoroides","Grey-backed Fiscal","Laniidae","Shrikes","Tring","M",589.16,181.78,770.94,16.26,3.86,5.5,8.54,4.78,53.72,"Not a Migrant",0,3,20,"Excl_Group Care",1,0,0,0,6.5,9.12,"N",0,0,25.97,60.08
"578",578,"Lanius_meridionalis","Lanius_meridionalis","Southern Grey Shrike","Laniidae","Shrikes","BWP","L",2757.53,296.1,3053.63,21.6,6.1,12.5,9.4,6.4,60.43,"Not a Migrant",0,4,17.5,"Both",1,0,0,0,1.25,40.44,"N",0,0,13.51,51.16
"579",579,"Lanius_meridionalis","Lanius_meridionalis","Southern Grey Shrike","Laniidae","Shrikes","Tring","M",749.94,169.49,919.43,15.46,3.46,7.23,8.54,4.4,60.43,"Not a Migrant",0,4,17.5,"Both",1,0,0,0,1.25,40.44,"N",0,0,13.51,51.16
"580",580,"Lanius_minor","Lanius_minor","Lesser Grey Shrike","Laniidae","Shrikes","BWP","L",805.82,254.47,1060.29,15,3,9,9,6,46.49,"Full Migrant",1,5.5,17,"Both",1,0,0,0,11.25,48.09,"N",0,0,10.57,40.15
"581",581,"Lanius_minor","Lanius_minor","Lesser Grey Shrike","Laniidae","Shrikes","Tring","M",402.38,169.9,572.28,13.74,2.6,5.79,8.54,4.45,46.49,"Full Migrant",1,5.5,17,"Both",1,0,0,0,11.25,48.09,"N",0,0,10.57,40.15
"582",582,"Lanius_minor","Lanius_minor","Lesser Grey Shrike","Laniidae","Shrikes","BWP","L",613.94,226.7,840.64,13,1.8,9.5,9.4,4.9,46.49,"Full Migrant",1,5.5,17,"Both",1,0,0,0,11.25,48.09,"N",0,0,10.57,40.15
"583",583,"Lanius_nubicus","Lanius_nubicus","Masked Shrike","Laniidae","Shrikes","Tring","M",305.13,78.65,383.77,11.11,2.28,5.63,6.63,3.43,19.7,"Full Migrant",1,5,19,"Both",1,0,0,0,6.48,39.69,"N",0,0,15.69,47.89
"585",585,"Lanius_nubicus","Lanius_nubicus","Masked Shrike","Laniidae","Shrikes","BWP","L",752.8,111.92,864.71,15.7,4.1,6.7,7.5,3.8,19.7,"Full Migrant",1,5,19,"Both",1,0,0,0,6.48,39.69,"N",0,0,15.69,47.89
"586",586,"Lanius_schach","Lanius_schach","Long-tailed Shrike","Laniidae","Shrikes","Tring","M",516.71,148.96,665.67,13.29,2.96,7.2,7.37,5.22,51.51,"Full Migrant",1,5,15.5,"Both",1,0,0,0,12.38,26.54,"N",0,0,22.38,104.04
"587",587,"Lanius_senator","Lanius_senator","Woodchat Shrike","Laniidae","Shrikes","BWP","L",550.83,167.55,718.38,14,3,7,8,5,35.97,"Full Migrant",1,6,16.5,"Both",1,0,0,0,10.5,40.31,"N",0,0,14.36,47.7
"588",588,"Lanius_senator","Lanius_senator","Woodchat Shrike","Laniidae","Shrikes","Tring","M",456.84,146.02,602.86,13.63,2.99,6.2,7.65,4.75,35.97,"Full Migrant",1,6,16.5,"Both",1,0,0,0,10.5,40.31,"N",0,0,14.36,47.7
"589",589,"Lanius_senator","Lanius_senator","Woodchat Shrike","Laniidae","Shrikes","BWP","L",889.64,156.09,1045.73,15.9,4.05,7.9,7.8,4.9,35.97,"Full Migrant",1,6,16.5,"Both",1,0,0,0,10.5,40.31,"N",0,0,14.36,47.7
"590",590,"Lanius_senator","Lanius_senator","Woodchat Shrike","Laniidae","Shrikes","BWP","L",506.28,200.69,706.97,13.6,2.9,7.3,7.8,6.3,35.97,"Full Migrant",1,6,16.5,"Both",1,0,0,0,10.5,40.31,"N",0,0,14.36,47.7
"603",603,"Leiothlypis_celata","Vermivora_celata","Orange-crowned Warbler","Parulidae","New World warblers","BNA","L",253.15,41.02,294.17,10.2,2.7,5.4,4.8,3.4,9.19,"Full Migrant",1,4.5,9,"Female",1,1,1,0,1.6,57.28,"N",0,0,2.16,42.42
"605",605,"Leiothlypis_celata","Vermivora_celata","Orange-crowned Warbler","Parulidae","New World warblers","BNA","L",280.8,59.54,340.34,10,2.15,6.5,5.7,3.5,9.19,"Full Migrant",1,4.5,9,"Female",1,1,1,0,1.6,57.28,"N",0,0,2.16,42.42
"609",609,"Leiothlypis_ruficapilla","Vermivora_ruficapilla","Nashville Warbler","Parulidae","New World warblers","BNA","L",114.97,40.63,155.6,8.82,2,3.82,4.82,3.34,8.09,"Full Migrant",1,4.5,11,"Female",0,1,0,0,0,48.43,"N",0,0,5.28,67.44
"610",610,"Leiothlypis_virginiae","Vermivora_virginiae","Virginia's Warbler","Parulidae","New World warblers","BNA","L",176.27,56.84,233.11,9.2,1.84,5.26,5.53,3.55,8.2,"Full Migrant",1,4,11,"Female",0,1,0,0,0,39.82,"N",0,0,10.08,26.9
"611",611,"Leiothrix_argentauris","Leiothrix_argentauris","Silver-eared Mesia","Leiotrichidae","Laughingthrushes and allies","Tring","M",351.99,82.16,434.15,11.5,2.8,6.23,5.9,4.49,28.4,"Not a Migrant",0,3.5,12,"Both",1,0,0,0,2,27.21,"N",0,0,20.98,145.9
"612",612,"Leiothrix_lutea","Leiothrix_lutea","Red-billed Leiothrix","Leiotrichidae","Laughingthrushes and allies","BNA","L",325.8,83.53,409.33,9.8,2.07,8.14,5.66,4.98,21.39,"Altitudinal Migrant",1,3.5,9.5,"Mainly Female",1,0,0,0,2.55,28.92,"N",0,0,17.3,135.77
"613",613,"Leiothrix_lutea","Leiothrix_lutea","Red-billed Leiothrix","Leiotrichidae","Laughingthrushes and allies","Tring","M",351.84,79.26,431.1,11.2,2.72,6.51,5.75,4.57,21.39,"Altitudinal Migrant",1,3.5,9.5,"Mainly Female",1,0,0,0,2.55,28.92,"N",0,0,17.3,135.77
"616",616,"Leucosticte_australis","Leucosticte_australis","Brown-capped Rosy-finch","Fringillidae","Finches","BNA","L",593.56,82.09,675.64,13.25,3.48,7.35,6.3,3.95,26.6,"Full Migrant",1,4,18.5,"Mainly Female",0,1,1,0,0,39,"N",0,0,1.38,49.31
"617",617,"Leucosticte_tephrocotis","Leucosticte_tephrocotis","Grey-crowned Rosy-Finch","Fringillidae","Finches","Tring","M",509.75,118.28,628.04,14.92,3.49,6.2,7.73,3.82,37.8,"Full Migrant",1,3.5,18.5,"Female",0,1,1,0,0,63.09,"N",0,0,-0.71,31.1
"618",618,"Leucosticte_tephrocotis","Leucosticte_tephrocotis","Grey-crowned Rosy-Finch","Fringillidae","Finches","BNA","L",431.56,110.61,542.17,11.75,2.63,7.5,6.5,5,37.8,"Full Migrant",1,3.5,18.5,"Female",0,1,1,0,0,63.09,"N",0,0,-0.71,31.1
"621",621,"Lichmera_indistincta","Lichmera_indistincta","Brown Honeyeater","Meliphagidae","Honeyeaters","HBW","L",70.52,35.47,105.99,6.3,1.03,5.1,4.25,3.75,11.18,"Nomadic",0,1.94,15,"Mainly Female",1,0,0,0,3.52,-23.75,"S",0,0,24.97,38.15
"622",622,"Limnothlypis_swainsonii","Limnothlypis_swainsonii","Swainson's Warbler","Parulidae","New World warblers","BNA","L",821.02,79.52,900.54,14.02,4.04,8.75,5.95,4.29,18.9,"Full Migrant",1,3,11,"Female",1,0,0,0,1.85,33.4,"N",0,0,18.72,117.7
"623",623,"Linaria_cannabina","Carduelis_cannabina","Common Linnet","Fringillidae","Finches","Tring","M",321.61,56.85,378.45,11.45,2.96,5.51,5.53,3.49,19.53,"Full Migrant",1,5,12,"Female",1,1,0,0,1.5,50.77,"N",0,0,9.27,50.14
"625",625,"Linaria_cannabina","Carduelis_cannabina","Common Linnet","Fringillidae","Finches","BWP","L",352.78,65.97,418.76,9.7,1.85,8.5,6,3.5,19.53,"Full Migrant",1,5,12,"Female",1,1,0,0,1.5,50.77,"N",0,0,9.27,50.14
"626",626,"Linaria_flavirostris","Carduelis_flavirostris","Twite","Fringillidae","Finches","Tring","M",434.1,53.12,487.22,12.91,3.72,5.54,5.47,3.4,15.4,"Full Migrant",1,4.5,12.5,"Female",1,1,1,0,1.5,40.29,"N",0,0,4.08,31.65
"627",627,"Linaria_flavirostris","Carduelis_flavirostris","Twite","Fringillidae","Finches","BWP","L",211.14,25.13,236.27,9.5,2.75,5,4,3,15.4,"Full Migrant",1,4.5,12.5,"Female",1,1,1,0,1.5,40.29,"N",0,0,4.08,31.65
"629",629,"Locustella_fluviatilis","Locustella_fluviatilis","River Warbler","Locustellidae","Grasshopper-warblers and grassbirds","Tring","M",183.66,50.19,233.84,8.81,1.92,5.75,4.98,3.87,16.1,"Full Migrant",1,5,15,"Mainly Female",1,1,0,0,0.15,55.34,"N",0,0,8.06,44.45
"630",630,"Locustella_fluviatilis","Locustella_fluviatilis","River Warbler","Locustellidae","Grasshopper-warblers and grassbirds","BWP","L",568.05,119.46,687.51,12.25,2.88,8.75,6.5,5.4,16.1,"Full Migrant",1,5,15,"Mainly Female",1,1,0,0,0.15,55.34,"N",0,0,8.06,44.45
"631",631,"Locustella_luscinioides","Locustella_luscinioides","Savi's Warbler","Locustellidae","Grasshopper-warblers and grassbirds","Tring","M",133.65,81.11,214.76,8.65,1.19,5.49,6.27,3.94,13.89,"Full Migrant",1,4.5,13,"Mainly Female",1,0,0,0,0.25,50.99,"N",0,0,11.27,40.85
"632",632,"Locustella_luscinioides","Locustella_luscinioides","Savi's Warbler","Locustellidae","Grasshopper-warblers and grassbirds","BWP","L",456.61,93.59,550.2,10.2,2.3,10.1,5.6,5.7,13.89,"Full Migrant",1,4.5,13,"Mainly Female",1,0,0,0,0.25,50.99,"N",0,0,11.27,40.85
"633",633,"Locustella_naevia","Locustella_naevia","Common Grasshopper-warbler","Locustellidae","Grasshopper-warblers and grassbirds","BWP","L",265.87,64.92,330.78,9.5,1.88,7,5.75,3.75,13.3,"Full Migrant",1,5.5,11,"Both",1,1,0,0,0.45,53.8,"N",0,0,7.61,45.02
"634",634,"Locustella_naevia","Locustella_naevia","Common Grasshopper-warbler","Locustellidae","Grasshopper-warblers and grassbirds","Tring","M",290.91,52.21,343.11,10.42,2.67,5.85,5.1,3.72,13.3,"Full Migrant",1,5.5,11,"Both",1,1,0,0,0.45,53.8,"N",0,0,7.61,45.02
"635",635,"Locustella_naevia","Locustella_naevia","Common Grasshopper-warbler","Locustellidae","Grasshopper-warblers and grassbirds","BWP","L",303.02,69.46,372.48,9.55,2.23,7.8,5.1,5.1,13.3,"Full Migrant",1,5.5,11,"Both",1,1,0,0,0.45,53.8,"N",0,0,7.61,45.02
"638",638,"Lophorina_paradisea","Ptiloris_paradiseus","Paradise Riflebird","Paradisaeidae","Birds-of-paradise","Tring","M",1101.84,311.8,1413.64,17.23,4.01,9.09,9.22,7.01,119.49,"Not a Migrant",0,2,21,"Excl_Female Care",1,0,0,0,22.5,-29.32,"S",0,0,19.17,84.98
"639",639,"Lophorina_superba","Lophorina_superba","Superb Bird-of-paradise","Paradisaeidae","Birds-of-paradise","Tring","M",468.7,122.62,591.32,11.98,2.88,7.97,6.23,6.1,76.66,"Not a Migrant",0,1.5,18,"Excl_Female Care",1,0,0,0,1.5,-6.29,"S",1,0,19.35,254.12
"640",640,"Lophorina_victoriae","Ptiloris_victoriae","Victoria's Riflebird","Paradisaeidae","Birds-of-paradise","Tring","M",602.03,288.93,890.97,16.16,3.05,6.5,10.07,5.44,95.02,"Not a Migrant",0,2,14,"Excl_Female Care",1,0,0,0,10.75,-17.61,"S",0,0,22.81,151.66
"641",641,"Loxia_curvirostra","Loxia_curvirostra","Red Crossbill","Fringillidae","Finches","BWP","L",524.83,91.67,616.49,12.7,3,7.3,6.7,3.9,38.29,"Not a Migrant",0,3.5,22.5,"Female",1,0,0,0,19,57.57,"N",0,0,4.31,46.32
"642",642,"Loxia_curvirostra","Loxia_curvirostra","Red Crossbill","Fringillidae","Finches","BNA","L",309.19,50.89,360.08,11.5,2.75,5.2,6,2.7,38.29,"Not a Migrant",0,3.5,22.5,"Female",1,0,0,0,19,57.57,"N",0,0,4.31,46.32
"643",643,"Loxia_leucoptera","Loxia_leucoptera","Two-barred Crossbill","Fringillidae","Finches","BWP","L",374.76,58.19,432.95,10.5,2.1,7.5,6.3,2.8,28.69,"Not a Migrant",0,3.5,23,"Female",1,0,0,0,11,60.05,"N",0,0,0.91,40.59
"644",644,"Loxia_leucoptera","Loxia_leucoptera","Two-barred Crossbill","Fringillidae","Finches","BNA","L",249.24,64.92,314.16,10,2.13,6,5.75,3.75,28.69,"Not a Migrant",0,3.5,23,"Female",1,0,0,0,11,60.05,"N",0,0,0.91,40.59
"646",646,"Loxia_pytyopsittacus","Loxia_pytyopsittacus","Parrot Crossbill","Fringillidae","Finches","BWP","L",647.18,81.5,728.68,14.1,3.85,7,6.4,3.8,53,"Not a Migrant",0,3.5,22,"Female",1,0,0,0,11,61.63,"N",0,0,4.79,45.52
"647",647,"Loxia_pytyopsittacus","Loxia_pytyopsittacus","Parrot Crossbill","Fringillidae","Finches","Tring","M",414.71,99.08,513.79,12.68,2.91,6.1,6.86,4.02,53,"Not a Migrant",0,3.5,22,"Female",1,0,0,0,11,61.63,"N",0,0,4.79,45.52
"648",648,"Loxia_scotica","Loxia_scotica","Scottish Crossbill","Fringillidae","Finches","Tring","M",469.52,101.04,570.56,13.75,3.27,5.79,7.21,3.73,43.17,"Not a Migrant",0,3.5,21,"Mainly Female",1,0,0,0,7,57.45,"N",1,0,6.83,102
"650",650,"Loxops_caeruleirostris","Loxops_caeruleirostris","Akekee","Fringillidae","Finches","BNA","L",496.51,65.94,562.45,9.75,2.2,11.3,5.35,4.4,10.8,"Not a Migrant",0,2,19,"Both",1,0,0,0,10.5,22.25,"N",1,1,22.58,132.25
"652",652,"Luscinia_luscinia","Luscinia_luscinia","Thrush Nightingale","Muscicapidae","Old World flycatchers and chats","BWP","L",636.34,120.88,757.22,13.2,3.3,8.3,6.6,5.3,23.8,"Full Migrant",1,4.5,10,"Female",0,1,0,0,0,56.32,"N",0,0,6.52,41.74
"657",657,"Manacus_manacus","Manacus_manacus","White-bearded Manakin","Pipridae","Manakins","Tring","M",139.89,45.49,185.38,8.22,1.48,5.24,5.26,3.14,16.7,"Not a Migrant",0,2,14,"Excl_Female Care",1,0,0,0,1,-3.22,"S",0,0,25.18,178.31
"658",658,"Manorina_flavigula","Manorina_flavigula","Yellow-throated Miner","Meliphagidae","Honeyeaters","HBW","L",1659.22,212.43,1871.65,19.05,5.25,9.85,8.55,5.55,55.9,"Not a Migrant",0,3.16,15.5,"Excl_Group Care",1,0,0,0,8.6,-25.6,"S",0,0,24.22,28.15
"659",659,"Manorina_melanocephala","Manorina_melanocephala","Noisy Miner","Meliphagidae","Honeyeaters","HBW","L",1213.99,222.45,1436.44,16.4,3.98,10.2,8.45,5.95,60.22,"Not a Migrant",0,2.9,16,"Excl_Group Care",1,0,0,0,15.1,-29.56,"S",0,0,20.02,52.21
"660",660,"Manorina_melanophrys","Manorina_melanophrys","Bell Miner","Meliphagidae","Honeyeaters","HBW","L",115.15,96.37,211.52,8.9,1.1,5.1,6.7,4.1,30.39,"Not a Migrant",0,1.91,12.1,"Excl_Group Care",1,0,0,0,12.65,-33.28,"S",0,0,15.57,82.49
"675",675,"Melanocorypha_bimaculata","Melanocorypha_bimaculata","Bimaculated Lark","Alaudidae","Larks","BWP","L",377.91,175.41,553.32,12.2,2.3,7.1,7.6,5.8,54.1,"Full Migrant",1,4.5,10.5,"Female",0,1,0,0,0,43.11,"N",0,0,13.88,28.62
"678",678,"Melanodryas_cucullata","Melanodryas_cucullata","Hooded Robin","Petroicidae","Australasian robins","HBW","L",132.5,51.04,183.53,8.25,1.28,5.15,5.7,3,21.1,"Not a Migrant",0,2.5,13,"Excl_Group Care",1,0,0,0,4.45,-26.57,"S",0,0,23.47,30.65
"679",679,"Melanodryas_vittata","Melanodryas_vittata","Dusky Robin","Petroicidae","Australasian robins","HBW","L",228.85,87.93,316.78,10,1.8,6.05,6.4,4.1,26.6,"Not a Migrant",0,3,15,"Excl_Group Care",1,0,0,0,3.25,-41.96,"S",1,0,10.63,109.65
"684",684,"Meliphaga_lewinii","Meliphaga_lewinii","Lewin's Honeyeater","Meliphagidae","Honeyeaters","HBW","L",274.56,103.04,377.6,10.15,1.75,7,6.65,4.45,33.58,"Not a Migrant",0,2.15,15,"Both",1,0,0,0,12.6,-28.36,"S",0,0,19.57,73.43
